First,Last
Colin,White
Riley,Stillman
Adam,Henrique
Justin,Danforth
Scott,Harrington
Philipp,Kurashev
Adam,Lowry
Nikita,Kucherov
Mikko,Rantanen
Artturi,Lehkonen
Michael,Rasmussen
Ryan,Suter
Brock,Nelson
Tomas,Tatar
Martin,Necas
Brandon,Carlo
Trent,Frederic
Brady,Tkachuk
Morgan,Barron
Juraj,Slafkovsky
Nikita,Zadorov
Nino,Niederreiter
Dylan,Larkin
Esa,Lindell
Liam,O'Brien
Jaccob,Slavin
Arber,Xhekaj
Connor,Murphy
Brendan,Smith
Matt,Martin
Craig,Smith
Claude,Giroux
Andreas,Athanasiou
Josh,Anderson
Tucker,Poolman
Matthew,Tkachuk
Trevor,Lewis
Adrian,Kempe
Erik,Brannstrom
Mika,Zibanejad
Kevin,Shattenkirk
Shayne,Gostisbehere
Philippe,Myers
Matty,Beniers
Connor,Mackey
Yegor,Sharangovich
Alex,Newhook
Jason,Zucker
Jimmy,Vesey
Mattias,Ekholm
Hampus,Lindholm
Pat,Maroon
Jani,Hakanpaa
Chris,Tanev
Will,Borgen
Pierre-Luc,Dubois
Henri,Jokiharju
Anthony,Mantha
Dakota,Joshua
Erik,Karlsson
Andrei,Svechnikov
Taylor,Hall
Andrei,Kuzmenko
Brandt,Clarke
Ondrej,Palat
Juuso,Valimaki
Zach,Hyman
Connor,Clifton
Phillip,Danault
Josh,Norris
Matt,Kiersted
Chris,Wideman
Jordan,Greenway
Erik,Cernak
Jayson,Megna
Egor,Zamula
Darnell,Nurse
Joel,Eriksson Ek
Barrett,Hayton
Jake,DeBrusk
Christian,Fischer
Brent,Burns
Colin,Miller
Brandon,Tanev
Matt,Dumba
Conor,Garland
Haydn,Fleury
Brett,Howden
Kieffer,Bellows
Rem,Pitlick
Sean,Walker
Charlie,Coyle
Zac,Jones
Nazem,Kadri
Jarred,Tinordi
Robert,Bortuzzo
Kevin,Fiala
John,Tavares
Nikita,Soshnikov
Filip,Forsberg
Kyle,Palmieri
Luke,Kunin
Jackson,Cates
J.J.,Moser
Ian,Cole
Marc,Staal
Pavel,Zacha
Jesper,Boqvist
Seth,Jones
